HAddress,HAttractions,HGFW,HImages,HLanguage,HName,HPMax,HPMin,HPRange,HQuestions,HRImages,HRNumber,HRank,HRankreview,HRating,HRestaurants,HReview,HRoom,HStyles,HVideos,URL
"18 Chan Cam Street, Q. Hoan Kiem Hanoi, Viet Nam, Hanoi 10000 Vietnam",162,100,268,"English, Vietnamese",Golden Legend Diamond Hotel & Travel,$688 ,$28 ,"$28, - ,$688","Which popular attractions are close to Golden Legend Diamond Hotel & Travel?, ,What are some of the property amenities at Golden Legend Diamond Hotel & Travel?, ,Which room amenities are available at Golden Legend Diamond Hotel & Travel?, ,What food & drink options are available at Golden Legend Diamond Hotel & Travel?, ,Is parking available at Golden Legend Diamond Hotel & Travel?, ,What are some restaurants close to Golden Legend Diamond Hotel & Travel?, ,Does Golden Legend Diamond Hotel & Travel have an airport shuttle?, ,Does Golden Legend Diamond Hotel & Travel have airport transportation?, ,Is Golden Legend Diamond Hotel & Travel located near the city center?, ,Are any cleaning services offered at Golden Legend Diamond Hotel & Travel?, ,Which languages are spoken by the staff at Golden Legend Diamond Hotel & Travel?, ",59,929,"#55 of 1,294 hotels in Hanoi",5,3.0 of 5 bubbles,494,Excellent,29,"Quiet,City View",55,https://www.tripadvisor.com/Hotel_Review-g293924-d7815277-Reviews-Golden_Legend_Diamond_Hotel_Travel-Hanoi.html
"47 Lo Su Hoan Kiem, Hanoi 100000 Vietnam",86,100,545,Vietnamese,Hanoi Emerald Waters Hotel & Spa,$65 ,$31 ,"$31, - ,$65","Which popular attractions are close to Hanoi Emerald Waters Hotel & Spa?, ,What are some of the property amenities at Hanoi Emerald Waters Hotel & Spa?, ,Which room amenities are available at Hanoi Emerald Waters Hotel & Spa?, ,What food & drink options are available at Hanoi Emerald Waters Hotel & Spa?, ,What are some restaurants close to Hanoi Emerald Waters Hotel & Spa?, ,Does Hanoi Emerald Waters Hotel & Spa have airport transportation?, ,Is Hanoi Emerald Waters Hotel & Spa located near the city center?, ,Are any cleaning services offered at Hanoi Emerald Waters Hotel & Spa?, ,Are there any historical sites close to Hanoi Emerald Waters Hotel & Spa?, ,Is Hanoi Emerald Waters Hotel & Spa accessible?, ",7,923,"#37 of 1,294 hotels in Hanoi",5,4.0 of 5 bubbles,375,Excellent,50,"Modern,Quiet",134,https://www.tripadvisor.com/Hotel_Review-g293924-d10192948-Reviews-Hanoi_Emerald_Waters_Hotel_Spa-Hanoi.html
"38A Tran Phu Street, Hanoi 10000 Vietnam",41,99,798,"English, Vietnamese",AIRA Boutique Hanoi Hotel & Spa,$140 ,$33 ,"$33, - ,$140","Which popular attractions are close to AIRA Boutique Hanoi Hotel & Spa?, ,What are some of the property amenities at AIRA Boutique Hanoi Hotel & Spa?, ,Which room amenities are available at AIRA Boutique Hanoi Hotel & Spa?, ,What food & drink options are available at AIRA Boutique Hanoi Hotel & Spa?, ,Is parking available at AIRA Boutique Hanoi Hotel & Spa?, ,What are some restaurants close to AIRA Boutique Hanoi Hotel & Spa?, ,Are there opportunities to exercise at AIRA Boutique Hanoi Hotel & Spa?, ,Does AIRA Boutique Hanoi Hotel & Spa have airport transportation?, ,Is AIRA Boutique Hanoi Hotel & Spa located near the city center?, ,Are any cleaning services offered at AIRA Boutique Hanoi Hotel & Spa?, ,Which languages are spoken by the staff at AIRA Boutique Hanoi Hotel & Spa?, ",322,"2,510","#1 of 1,294 hotels in Hanoi",5,3.0 of 5 bubbles,183,Excellent,60,"Centrally Located,Boutique",168,https://www.tripadvisor.com/Hotel_Review-g293924-d2298266-Reviews-AIRA_Boutique_Hanoi_Hotel_Spa-Hanoi.html
"16-18 Bat Su Hoan Kiem District, Hanoi 100000 Vietnam",114,97,432,Vietnamese,Serene Boutique Hotel & Spa,$92 ,$45 ,"$45, - ,$92","Which popular attractions are close to Serene Boutique Hotel & Spa?, ,What are some of the property amenities at Serene Boutique Hotel & Spa?, ,Which room amenities are available at Serene Boutique Hotel & Spa?, ,What food & drink options are available at Serene Boutique Hotel & Spa?, ,What are some restaurants close to Serene Boutique Hotel & Spa?, ,Does Serene Boutique Hotel & Spa have airport transportation?, ,Is Serene Boutique Hotel & Spa located near the city center?, ,Are any cleaning services offered at Serene Boutique Hotel & Spa?, ,Are there any historical sites close to Serene Boutique Hotel & Spa?, ",132,955,"#40 of 1,294 hotels in Hanoi",5,3.0 of 5 bubbles,390,Excellent,46,"Mid-range,Quiet",19,https://www.tripadvisor.com/Hotel_Review-g293924-d3320127-Reviews-Serene_Boutique_Hotel_Spa-Hanoi.html
"40 Cat Linh Street, Hanoi 10000 Vietnam",5,83,596,"English, Vietnamese",Pullman Hanoi,$151 ,$84 ,"$84, - ,$151","Which popular attractions are close to Pullman Hanoi?, ,What are some of the property amenities at Pullman Hanoi?, ,Which room amenities are available at Pullman Hanoi?, ,What food & drink options are available at Pullman Hanoi?, ,Is parking available at Pullman Hanoi?, ,What are some restaurants close to Pullman Hanoi?, ,Are there opportunities to exercise at Pullman Hanoi?, ,Does Pullman Hanoi have airport transportation?, ,Are any cleaning services offered at Pullman Hanoi?, ,Does Pullman Hanoi offer any business services?, ,Which languages are spoken by the staff at Pullman Hanoi?, ",248,987,"#198 of 1,294 hotels in Hanoi",4,5.0 of 5 bubbles,34,Very good,242,"City View,Modern",95,https://www.tripadvisor.com/Hotel_Review-g293924-d306185-Reviews-Pullman_Hanoi-Hanoi.html
"27 Hang Be Hoan Kiem, Hanoi 100000 Vietnam",155,100,1184,Vietnamese,La Siesta Premium Hang Be,$136 ,$61 ,"$61, - ,$136","Which popular attractions are close to La Siesta Premium Hang Be?, ,What are some of the property amenities at La Siesta Premium Hang Be?, ,Which room amenities are available at La Siesta Premium Hang Be?, ,What food & drink options are available at La Siesta Premium Hang Be?, ,Is parking available at La Siesta Premium Hang Be?, ,What are some restaurants close to La Siesta Premium Hang Be?, ,Are there opportunities to exercise at La Siesta Premium Hang Be?, ,Does La Siesta Premium Hang Be have airport transportation?, ,Is La Siesta Premium Hang Be located near the city center?, ,Are any cleaning services offered at La Siesta Premium Hang Be?, ,Are pets allowed at La Siesta Premium Hang Be?, ",468,"1,011","#4 of 1,294 hotels in Hanoi",5,3.0 of 5 bubbles,587,Excellent,60,"Value,Romantic",255,https://www.tripadvisor.com/Hotel_Review-g293924-d615317-Reviews-La_Siesta_Premium_Hang_Be-Hanoi.html
"38 36, Gia Ngu Str Hoan Kiem, Hanoi 100000 Vietnam",209,100,431,"English, Vietnamese",Hanoi Tirant Hotel,$104 ,$71 ,"$71, - ,$104","Which popular attractions are close to Hanoi Tirant Hotel?, ,What are some of the property amenities at Hanoi Tirant Hotel?, ,Which room amenities are available at Hanoi Tirant Hotel?, ,What food & drink options are available at Hanoi Tirant Hotel?, ,Is parking available at Hanoi Tirant Hotel?, ,What are some restaurants close to Hanoi Tirant Hotel?, ,Are there opportunities to exercise at Hanoi Tirant Hotel?, ,Does Hanoi Tirant Hotel have airport transportation?, ,Is Hanoi Tirant Hotel located near the city center?, ,Are any cleaning services offered at Hanoi Tirant Hotel?, ,Does Hanoi Tirant Hotel offer any business services?, ",9,"1,013","#85 of 1,294 hotels in Hanoi",5,3.0 of 5 bubbles,703,Excellent,80,"Classic,Mid-range",337,https://www.tripadvisor.com/Hotel_Review-g293924-d1951646-Reviews-Hanoi_Tirant_Hotel-Hanoi.html
"19 Pham Dinh Ho Street, Hai Ba Trung District, Hanoi 10000 Vietnam",12,88,335,"English, Vietnamese",Sunway Hotel Hanoi,$98 ,$45 ,"$45, - ,$98","Which popular attractions are close to Sunway Hotel Hanoi?, ,What are some of the property amenities at Sunway Hotel Hanoi?, ,Which room amenities are available at Sunway Hotel Hanoi?, ,What food & drink options are available at Sunway Hotel Hanoi?, ,What are some restaurants close to Sunway Hotel Hanoi?, ,Are there opportunities to exercise at Sunway Hotel Hanoi?, ,Does Sunway Hotel Hanoi have airport transportation?, ,Are any cleaning services offered at Sunway Hotel Hanoi?, ,Does Sunway Hotel Hanoi offer any business services?, ,Which languages are spoken by the staff at Sunway Hotel Hanoi?, ,Are there any historical sites close to Sunway Hotel Hanoi?, ",114,"1,030","#192 of 1,294 hotels in Hanoi",4,4.0 of 5 bubbles,79,Very good,143,"Quiet,Business",59,https://www.tripadvisor.com/Hotel_Review-g293924-d306162-Reviews-Sunway_Hotel_Hanoi-Hanoi.html
"43 Gia Ngu St, Hoan Kiem District, Hanoi 100000 Vietnam",210,100,399,Vietnamese,May de Ville Old Quarter Hotel,$99 ,$61 ,"$61, - ,$99","Which popular attractions are close to May de Ville Old Quarter Hotel?, ,What are some of the property amenities at May de Ville Old Quarter Hotel?, ,Which room amenities are available at May de Ville Old Quarter Hotel?, ,What food & drink options are available at May de Ville Old Quarter Hotel?, ,What are some restaurants close to May de Ville Old Quarter Hotel?, ,Are there opportunities to exercise at May de Ville Old Quarter Hotel?, ,Is May de Ville Old Quarter Hotel located near the city center?, ,Are any cleaning services offered at May de Ville Old Quarter Hotel?, ,Are there any historical sites close to May de Ville Old Quarter Hotel?, ,Is May de Ville Old Quarter Hotel accessible?, ",19,"1,053","#206 of 1,294 hotels in Hanoi",4,3.0 of 5 bubbles,717,Very good,96,"Mid-range,Centrally Located",228,https://www.tripadvisor.com/Hotel_Review-g293924-d1899681-Reviews-May_de_Ville_Old_Quarter_Hotel-Hanoi.html
"49 Hai Ba Trung St, Hanoi 10000 Vietnam",55,100,391,"English, Vietnamese",Somerset Grand Hanoi,$145 ,$85 ,"$85, - ,$145","Which popular attractions are close to Somerset Grand Hanoi?, ,What are some of the property amenities at Somerset Grand Hanoi?, ,Which room amenities are available at Somerset Grand Hanoi?, ,What food & drink options are available at Somerset Grand Hanoi?, ,Is parking available at Somerset Grand Hanoi?, ,What are some restaurants close to Somerset Grand Hanoi?, ,Are there opportunities to exercise at Somerset Grand Hanoi?, ,Does Somerset Grand Hanoi have airport transportation?, ,Is Somerset Grand Hanoi located near the city center?, ,Are any cleaning services offered at Somerset Grand Hanoi?, ,Does Somerset Grand Hanoi offer any business services?, ",38,"1,081","#170 of 1,294 hotels in Hanoi",4.5,4.5 of 5 bubbles,218,Excellent,185,"Family,Mid-range",158,https://www.tripadvisor.com/Hotel_Review-g293924-d627087-Reviews-Somerset_Grand_Hanoi-Hanoi.html
"10 Chan Cam Street, Hanoi 1000 Vietnam",166,100,226,"English, Vietnamese",Stelward Prima Hotel,$120 ,$27 ,"$27, - ,$120","Which popular attractions are close to Stelward Prima Hotel?, ,What are some of the property amenities at Stelward Prima Hotel?, ,Which room amenities are available at Stelward Prima Hotel?, ,What food & drink options are available at Stelward Prima Hotel?, ,What are some restaurants close to Stelward Prima Hotel?, ,Does Stelward Prima Hotel have airport transportation?, ,Is Stelward Prima Hotel located near the city center?, ,Are any cleaning services offered at Stelward Prima Hotel?, ,Which languages are spoken by the staff at Stelward Prima Hotel?, ,Are there any historical sites close to Stelward Prima Hotel?, ",141,"1,136","#83 of 1,294 hotels in Hanoi",5,2.5 of 5 bubbles,491,Excellent,22,"Family,Quiet",22,https://www.tripadvisor.com/Hotel_Review-g293924-d2555547-Reviews-Stelward_Prima_Hotel-Hanoi.html
"16 Hang Da Street Hoan Kiem District, Hanoi 100000 Vietnam",154,100,942,"English, Vietnamese",JM Marvel Hotel & Spa,$114 ,$69 ,"$69, - ,$114","Which popular attractions are close to JM Marvel Hotel & Spa?, ,What are some of the property amenities at JM Marvel Hotel & Spa?, ,Which room amenities are available at JM Marvel Hotel & Spa?, ,What food & drink options are available at JM Marvel Hotel & Spa?, ,What are some restaurants close to JM Marvel Hotel & Spa?, ,Are there opportunities to exercise at JM Marvel Hotel & Spa?, ,Does JM Marvel Hotel & Spa have an airport shuttle?, ,Does JM Marvel Hotel & Spa have airport transportation?, ,Is JM Marvel Hotel & Spa located near the city center?, ,Are any cleaning services offered at JM Marvel Hotel & Spa?, ,Which languages are spoken by the staff at JM Marvel Hotel & Spa?, ",296,"1,154","#16 of 1,294 hotels in Hanoi",5,4.0 of 5 bubbles,492,Excellent,45,"Romantic,Trendy",247,https://www.tripadvisor.com/Hotel_Review-g293924-d13507503-Reviews-JM_Marvel_Hotel_Spa-Hanoi.html
"15 Hang Can, Hanoi 100000 Vietnam",184,100,327,,Hanoi Golden Moment Hotel & Travel,$88 ,$23 ,"$23, - ,$88","Which popular attractions are close to Hanoi Golden Moment Hotel & Travel?, ,What are some of the property amenities at Hanoi Golden Moment Hotel & Travel?, ,Which room amenities are available at Hanoi Golden Moment Hotel & Travel?, ,What food & drink options are available at Hanoi Golden Moment Hotel & Travel?, ,What are some restaurants close to Hanoi Golden Moment Hotel & Travel?, ,Does Hanoi Golden Moment Hotel & Travel have airport transportation?, ,Is Hanoi Golden Moment Hotel & Travel located near the city center?, ,Are any cleaning services offered at Hanoi Golden Moment Hotel & Travel?, ,Are there any historical sites close to Hanoi Golden Moment Hotel & Travel?, ",3,"1,184","#30 of 1,294 hotels in Hanoi",5,3.0 of 5 bubbles,632,Excellent,20,"Family,Modern",124,https://www.tripadvisor.com/Hotel_Review-g293924-d1896319-Reviews-Hanoi_Golden_Moment_Hotel_Travel-Hanoi.html
"109-111 Hang Gai, Hanoi 10000 Vietnam",189,100,365,"English, Vietnamese",Golden Silk Boutique Hotel,$112 ,$51 ,"$51, - ,$112","Which popular attractions are close to Golden Silk Boutique Hotel?, ,What are some of the property amenities at Golden Silk Boutique Hotel?, ,Which room amenities are available at Golden Silk Boutique Hotel?, ,What food & drink options are available at Golden Silk Boutique Hotel?, ,Is parking available at Golden Silk Boutique Hotel?, ,What are some restaurants close to Golden Silk Boutique Hotel?, ,Are there opportunities to exercise at Golden Silk Boutique Hotel?, ,Does Golden Silk Boutique Hotel have airport transportation?, ,Is Golden Silk Boutique Hotel located near the city center?, ,Are any cleaning services offered at Golden Silk Boutique Hotel?, ,Does Golden Silk Boutique Hotel offer any business services?, ",6,"1,206",#4 of 14 boutique hotels in Hanoi,4.5,4.0 of 5 bubbles,583,Excellent,55,"City View,Centrally Located",380,https://www.tripadvisor.com/Hotel_Review-g293924-d2522966-Reviews-Golden_Silk_Boutique_Hotel-Hanoi.html
"136 Hang Trong Hoan Kiem, Hanoi 100000 Vietnam",136,100,969,Vietnamese,Apricot Hotel,$200 ,$122 ,"$122, - ,$200","Which popular attractions are close to Apricot Hotel?, ,What are some of the property amenities at Apricot Hotel?, ,Which room amenities are available at Apricot Hotel?, ,What food & drink options are available at Apricot Hotel?, ,What are some restaurants close to Apricot Hotel?, ,Are there opportunities to exercise at Apricot Hotel?, ,Does Apricot Hotel have airport transportation?, ,Is Apricot Hotel located near the city center?, ,Are any cleaning services offered at Apricot Hotel?, ,Does Apricot Hotel offer any business services?, ,Are there any historical sites close to Apricot Hotel?, ",11,"1,234","#145 of 1,294 hotels in Hanoi",4.5,5.0 of 5 bubbles,331,Excellent,123,"Park View,Lake View",248,https://www.tripadvisor.com/Hotel_Review-g293924-d7392141-Reviews-Apricot_Hotel-Hanoi.html
"56 54, Au Trieu Street Hoan Kiem Dist., Hanoi 10000 Vietnam",145,100,382,"English, French, Vietnamese",Hanoi Impressive Hotel,$62 ,$30 ,"$30, - ,$62","Which popular attractions are close to Hanoi Impressive Hotel?, ,What are some of the property amenities at Hanoi Impressive Hotel?, ,Which room amenities are available at Hanoi Impressive Hotel?, ,What food & drink options are available at Hanoi Impressive Hotel?, ,What are some restaurants close to Hanoi Impressive Hotel?, ,Does Hanoi Impressive Hotel have airport transportation?, ,Is Hanoi Impressive Hotel located near the city center?, ,Are any cleaning services offered at Hanoi Impressive Hotel?, ,Which languages are spoken by the staff at Hanoi Impressive Hotel?, ,Are there any historical sites close to Hanoi Impressive Hotel?, ",6,"1,272","#82 of 1,294 hotels in Hanoi",5,3.0 of 5 bubbles,391,Excellent,25,"Great View,Quiet",132,https://www.tripadvisor.com/Hotel_Review-g293924-d1638735-Reviews-Hanoi_Impressive_Hotel-Hanoi.html
"11 Hang Dau Str, Hoan Kiem Lake, Hanoi 10000 Vietnam",149,100,586,Vietnamese,Hanoi Media Hotel & Spa,$259 ,$29 ,"$29, - ,$259","Which popular attractions are close to Hanoi Media Hotel & Spa?, ,What are some of the property amenities at Hanoi Media Hotel & Spa?, ,Which room amenities are available at Hanoi Media Hotel & Spa?, ,What food & drink options are available at Hanoi Media Hotel & Spa?, ,Is parking available at Hanoi Media Hotel & Spa?, ,What are some restaurants close to Hanoi Media Hotel & Spa?, ,Are there opportunities to exercise at Hanoi Media Hotel & Spa?, ,Does Hanoi Media Hotel & Spa have an airport shuttle?, ,Does Hanoi Media Hotel & Spa have airport transportation?, ,Is Hanoi Media Hotel & Spa located near the city center?, ,Are any cleaning services offered at Hanoi Media Hotel & Spa?, ",15,"1,302","#105 of 1,294 hotels in Hanoi",5,3.0 of 5 bubbles,527,Excellent,35,Charming,153,https://www.tripadvisor.com/Hotel_Review-g293924-d2328401-Reviews-Hanoi_Media_Hotel_Spa-Hanoi.html
"68 Hang Trong, Hanoi 10000 Vietnam",166,100,505,"English, Vietnamese",Golden Sun Villa Hotel,$68 ,$28 ,"$28, - ,$68","Which popular attractions are close to Golden Sun Villa Hotel?, ,What are some of the property amenities at Golden Sun Villa Hotel?, ,Which room amenities are available at Golden Sun Villa Hotel?, ,What food & drink options are available at Golden Sun Villa Hotel?, ,What are some restaurants close to Golden Sun Villa Hotel?, ,Is Golden Sun Villa Hotel located near the city center?, ,Are any cleaning services offered at Golden Sun Villa Hotel?, ,Which languages are spoken by the staff at Golden Sun Villa Hotel?, ,Are there any historical sites close to Golden Sun Villa Hotel?, ,Is Golden Sun Villa Hotel accessible?, ",5,"1,306","#43 of 1,294 hotels in Hanoi",5,3.0 of 5 bubbles,484,Excellent,25,"Modern,Charming",186,https://www.tripadvisor.com/Hotel_Review-g293924-d5523534-Reviews-Golden_Sun_Villa_Hotel-Hanoi.html
"56 Ngo Huyen Street, Hoan Kiem District Hoan Kiem District, Hanoi Vietnam",157,100,221,Vietnamese,Luxury Backpackers Hanoi,$46 ,$11 ,"$11, - ,$46","Which popular attractions are close to Luxury Backpackers Hanoi?, ,What are some of the property amenities at Luxury Backpackers Hanoi?, ,Which room amenities are available at Luxury Backpackers Hanoi?, ,What food & drink options are available at Luxury Backpackers Hanoi?, ,What are some restaurants close to Luxury Backpackers Hanoi?, ,Does Luxury Backpackers Hanoi have an airport shuttle?, ,Does Luxury Backpackers Hanoi have airport transportation?, ,Is Luxury Backpackers Hanoi located near the city center?, ,Are any cleaning services offered at Luxury Backpackers Hanoi?, ,Are there any historical sites close to Luxury Backpackers Hanoi?, ",38,"1,323",#1 of 188 hostels in Hanoi,5,2.0 of 5 bubbles,429,Excellent,28,"Modern,Centrally Located",13,https://www.tripadvisor.com/Hotel_Review-g293924-d2102670-Reviews-Luxury_Backpackers_Hanoi-Hanoi.html
"94 Ly Thuong Kiet Hoan Kiem, Hanoi 100000 Vietnam",27,97,517,English,Mercure Hanoi La Gare Hotel,$96 ,$57 ,"$57, - ,$96","Which popular attractions are close to Mercure Hanoi La Gare Hotel?, ,What are some of the property amenities at Mercure Hanoi La Gare Hotel?, ,Which room amenities are available at Mercure Hanoi La Gare Hotel?, ,What food & drink options are available at Mercure Hanoi La Gare Hotel?, ,What are some restaurants close to Mercure Hanoi La Gare Hotel?, ,Are there opportunities to exercise at Mercure Hanoi La Gare Hotel?, ,Does Mercure Hanoi La Gare Hotel have airport transportation?, ,Is Mercure Hanoi La Gare Hotel located near the city center?, ,Are any cleaning services offered at Mercure Hanoi La Gare Hotel?, ,Does Mercure Hanoi La Gare Hotel offer any business services?, ,Are there any historical sites close to Mercure Hanoi La Gare Hotel?, ",95,"1,333","#172 of 1,294 hotels in Hanoi",4,4.0 of 5 bubbles,187,Very good,100,"Mid-range,Modern",25,https://www.tripadvisor.com/Hotel_Review-g293924-d1486180-Reviews-Mercure_Hanoi_La_Gare_Hotel-Hanoi.html
"31 Hang Dieu Street Hoan Kiem District, Hanoi 10000 Vietnam",138,100,199,"English, French, Spanish, Vietnamese",Hanoi Rendezvous Hotel,$31 ,$19 ,"$19, - ,$31","Which popular attractions are close to Hanoi Rendezvous Hotel?, ,What are some of the property amenities at Hanoi Rendezvous Hotel?, ,What food & drink options are available at Hanoi Rendezvous Hotel?, ,What are some restaurants close to Hanoi Rendezvous Hotel?, ,Does Hanoi Rendezvous Hotel have an airport shuttle?, ,Does Hanoi Rendezvous Hotel have airport transportation?, ,Is Hanoi Rendezvous Hotel located near the city center?, ,Are any cleaning services offered at Hanoi Rendezvous Hotel?, ,Which languages are spoken by the staff at Hanoi Rendezvous Hotel?, ,Are there any historical sites close to Hanoi Rendezvous Hotel?, ",34,"1,351","#129 of 1,294 hotels in Hanoi",4.5,3.0 of 5 bubbles,429,Excellent,18,Quiet,31,https://www.tripadvisor.com/Hotel_Review-g293924-d1629341-Reviews-Hanoi_Rendezvous_Hotel-Hanoi.html
"15 Yen Thai St. Hoan Kiem, Hanoi 10000 Vietnam",169,100,355,"English, Japanese, Vietnamese",Hanoi Charming Hotel,$19 ,$12 ,"$12, - ,$19","Which popular attractions are close to Hanoi Charming Hotel?, ,What are some of the property amenities at Hanoi Charming Hotel?, ,Which room amenities are available at Hanoi Charming Hotel?, ,What food & drink options are available at Hanoi Charming Hotel?, ,Is parking available at Hanoi Charming Hotel?, ,What are some restaurants close to Hanoi Charming Hotel?, ,Does Hanoi Charming Hotel have airport transportation?, ,Is Hanoi Charming Hotel located near the city center?, ,Which languages are spoken by the staff at Hanoi Charming Hotel?, ,Are there any historical sites close to Hanoi Charming Hotel?, ",6,"1,374",1,4.5,,515,Excellent,36,"Budget,Quiet",189,https://www.tripadvisor.com/Hotel_Review-g293924-d1420780-Reviews-Hanoi_Charming_Hotel-Hanoi.html
"62 Hang Bac Street Hoan Kiem District, Hanoi Vietnam",182,100,323,"English, Vietnamese",Hanoi Paradise Hotel and Spa,$68 ,$29 ,"$29, - ,$68","Which popular attractions are close to Hanoi Paradise Hotel and Spa?, ,What are some of the property amenities at Hanoi Paradise Hotel and Spa?, ,Which room amenities are available at Hanoi Paradise Hotel and Spa?, ,What food & drink options are available at Hanoi Paradise Hotel and Spa?, ,Is parking available at Hanoi Paradise Hotel and Spa?, ,What are some restaurants close to Hanoi Paradise Hotel and Spa?, ,Does Hanoi Paradise Hotel and Spa have airport transportation?, ,Is Hanoi Paradise Hotel and Spa located near the city center?, ,Are any cleaning services offered at Hanoi Paradise Hotel and Spa?, ,Which languages are spoken by the staff at Hanoi Paradise Hotel and Spa?, ,Are there any historical sites close to Hanoi Paradise Hotel and Spa?, ",121,"1,447",1,5,,653,Excellent,25,"Charming,Quiet",36,https://www.tripadvisor.com/Hotel_Review-g293924-d4480485-Reviews-Hanoi_Paradise_Hotel_and_Spa-Hanoi.html
"72-74 Hang Buom Street, Hoan Kiem District, Hanoi Vietnam",138,100,526,"English, Vietnamese",MK Premier Boutique Hotel,$82 ,$57 ,"$57, - ,$82","Which popular attractions are close to MK Premier Boutique Hotel?, ,What are some of the property amenities at MK Premier Boutique Hotel?, ,Which room amenities are available at MK Premier Boutique Hotel?, ,What food & drink options are available at MK Premier Boutique Hotel?, ,What are some restaurants close to MK Premier Boutique Hotel?, ,Does MK Premier Boutique Hotel have airport transportation?, ,Is MK Premier Boutique Hotel located near the city center?, ,Are any cleaning services offered at MK Premier Boutique Hotel?, ,Does MK Premier Boutique Hotel offer any business services?, ,Which languages are spoken by the staff at MK Premier Boutique Hotel?, ,Are there any historical sites close to MK Premier Boutique Hotel?, ",9,"1,464",1,4.5,,533,Excellent,72,"Boutique,Modern",121,https://www.tripadvisor.com/Hotel_Review-g293924-d624980-Reviews-MK_Premier_Boutique_Hotel-Hanoi.html
"33 Hang Quat Street, Hanoi 10000 Vietnam",213,100,373,"English, Vietnamese",Golden Sun Palace Hotel,$46 ,$22 ,"$22, - ,$46","Which popular attractions are close to Golden Sun Palace Hotel?, ,What are some of the property amenities at Golden Sun Palace Hotel?, ,Which room amenities are available at Golden Sun Palace Hotel?, ,What food & drink options are available at Golden Sun Palace Hotel?, ,What are some restaurants close to Golden Sun Palace Hotel?, ,Is Golden Sun Palace Hotel located near the city center?, ,Are any cleaning services offered at Golden Sun Palace Hotel?, ,Which languages are spoken by the staff at Golden Sun Palace Hotel?, ,Are there any historical sites close to Golden Sun Palace Hotel?, ",5,"1,513",6,5,,692,Excellent,29,"Modern,Quiet",86,https://www.tripadvisor.com/Hotel_Review-g293924-d3745968-Reviews-Golden_Sun_Palace_Hotel-Hanoi.html
"33 Hang Quat Street, Hanoi 10000 Vietnam",213,100,373,"English, Vietnamese",Golden Sun Palace Hotel,$46 ,$22 ,"$22, - ,$46","Which popular attractions are close to Golden Sun Palace Hotel?, ,What are some of the property amenities at Golden Sun Palace Hotel?, ,Which room amenities are available at Golden Sun Palace Hotel?, ,What food & drink options are available at Golden Sun Palace Hotel?, ,What are some restaurants close to Golden Sun Palace Hotel?, ,Is Golden Sun Palace Hotel located near the city center?, ,Are any cleaning services offered at Golden Sun Palace Hotel?, ,Which languages are spoken by the staff at Golden Sun Palace Hotel?, ,Are there any historical sites close to Golden Sun Palace Hotel?, ",5,"1,513",6,5,,694,Excellent,29,"Modern,Quiet",86,https://www.tripadvisor.com/Hotel_Review-g293924-d3745968-Reviews-Golden_Sun_Palace_Hotel-Hanoi.html
"38A Tran Phu Street, Hanoi 10000 Vietnam",41,99,798,"English, Vietnamese",AIRA Boutique Hanoi Hotel & Spa,$140 ,$33 ,"$33, - ,$140","Which popular attractions are close to AIRA Boutique Hanoi Hotel & Spa?, ,What are some of the property amenities at AIRA Boutique Hanoi Hotel & Spa?, ,Which room amenities are available at AIRA Boutique Hanoi Hotel & Spa?, ,What food & drink options are available at AIRA Boutique Hanoi Hotel & Spa?, ,Is parking available at AIRA Boutique Hanoi Hotel & Spa?, ,What are some restaurants close to AIRA Boutique Hanoi Hotel & Spa?, ,Are there opportunities to exercise at AIRA Boutique Hanoi Hotel & Spa?, ,Does AIRA Boutique Hanoi Hotel & Spa have airport transportation?, ,Is AIRA Boutique Hanoi Hotel & Spa located near the city center?, ,Are any cleaning services offered at AIRA Boutique Hanoi Hotel & Spa?, ,Does AIRA Boutique Hanoi Hotel & Spa offer any business services?, ",322,"2,506",1,5,,182,Excellent,60,"Centrally Located,Mid-range",168,https://www.tripadvisor.com/Hotel_Review-g293924-d2298266-Reviews-AIRA_Boutique_Hanoi_Hotel_Spa-Hanoi.html
"32 Lo Su Str., Hoan Kiem Dist. Old Quarter, Hanoi 100000 Vietnam",99,100,977,Vietnamese,Hanoi La Siesta Diamond Hotel & Spa,$116 ,$57 ,"$57, - ,$116","Which popular attractions are close to Hanoi La Siesta Diamond Hotel & Spa?, ,What are some of the property amenities at Hanoi La Siesta Diamond Hotel & Spa?, ,Which room amenities are available at Hanoi La Siesta Diamond Hotel & Spa?, ,What food & drink options are available at Hanoi La Siesta Diamond Hotel & Spa?, ,What are some restaurants close to Hanoi La Siesta Diamond Hotel & Spa?, ,Does Hanoi La Siesta Diamond Hotel & Spa have airport transportation?, ,Is Hanoi La Siesta Diamond Hotel & Spa located near the city center?, ,Are any cleaning services offered at Hanoi La Siesta Diamond Hotel & Spa?, ,Are there any historical sites close to Hanoi La Siesta Diamond Hotel & Spa?, ,Is Hanoi La Siesta Diamond Hotel & Spa accessible?, ",6,"1,735",5,5,,402,Excellent,30,"Business,Modern",384,https://www.tripadvisor.com/Hotel_Review-g293924-d1224737-Reviews-Hanoi_La_Siesta_Diamond_Hotel_Spa-Hanoi.html
