HAddress,HAttractions,HGFW,HImages,HLanguage,HMail,HName,HPMax,HPMin,HPRange,HQuestions,HRImages,HRNumber,HRank,HRankreview,HRating,HRestaurants,HReview,HRoom,HStyles,HTel,HVideos,URL
"31 Hung Vuong, Da Lat 650000 Vietnam",6,55,,"English, Vietnamese",,Thanh Tin Hotel,Da Lat,Vietnam,"Vietnam,Lam Dong Province,Da Lat","Which popular attractions are close to Thanh Tin Hotel?, ,What are some of the property amenities at Thanh Tin Hotel?, ,Is parking available at Thanh Tin Hotel?, ,What are some restaurants close to Thanh Tin Hotel?, ,Are pets allowed at Thanh Tin Hotel?, ,Which languages are spoken by the staff at Thanh Tin Hotel?, ",,2,#65 of 98 lodges in Da Lat,3.0,1.0 of 5 bubbles,30,Average,16,,,0,https://www.tripadvisor.com/Hotel_Review-g293922-d6924044-Reviews-Thanh_Tin_Hotel-Da_Lat_Lam_Dong_Province.html
"151 My Thanh An BenTre, Ben Tre 1234 Vietnam",0,0,128,"English, Khmer, Vietnamese",,Oasis Hotel,$30,$22,"$22, - ,$30","Which popular attractions are close to Oasis Hotel?, ,What are some of the property amenities at Oasis Hotel?, ,Which room amenities are available at Oasis Hotel?, ,What food & drink options are available at Oasis Hotel?, ,Is parking available at Oasis Hotel?, ,What are some restaurants close to Oasis Hotel?, ,Are there opportunities to exercise at Oasis Hotel?, ,Is Oasis Hotel located near the city center?, ,Which languages are spoken by the staff at Oasis Hotel?, ",15,343,#1 of 14 hotels in Ben Tre,4.5,2.0 of 5 bubbles,0,Excellent,9,"Quiet,Family",,5,https://www.tripadvisor.com/Hotel_Review-g737085-d1998581-Reviews-Oasis_Hotel-Ben_Tre_Ben_Tre_Province_Mekong_Delta.html
"348 Phan Dinh Phung Street, Ward 2, Da Lat 66000 Vietnam",25,88,14,,,Solo Da Lat Hostel,Da Lat,Vietnam,"Vietnam,Lam Dong Province,Da Lat","Which popular attractions are close to Solo Da Lat Hostel?, ,What are some of the property amenities at Solo Da Lat Hostel?, ,What food & drink options are available at Solo Da Lat Hostel?, ,Is parking available at Solo Da Lat Hostel?, ,What are some restaurants close to Solo Da Lat Hostel?, ,Are there opportunities to exercise at Solo Da Lat Hostel?, ,Does Solo Da Lat Hostel have an airport shuttle?, ,Is Solo Da Lat Hostel located near the city center?, ,Are any cleaning services offered at Solo Da Lat Hostel?, ",7,16,#59 of 230 hostels in Da Lat,4.5,NA,138,Excellent,10,Budget,,3,https://www.tripadvisor.com/Hotel_Review-g293922-d12558565-Reviews-Solo_Da_Lat_Hostel-Da_Lat_Lam_Dong_Province.html
"12A Bach Dang Ward 7, Da Lat 670000 Vietnam",2,43,8,"English, Vietnamese",,Legume Home,Da Lat,Vietnam,"Vietnam,Lam Dong Province,Da Lat","Which popular attractions are close to Legume Home?, ,What are some of the property amenities at Legume Home?, ,Which room amenities are available at Legume Home?, ,What food & drink options are available at Legume Home?, ,Is parking available at Legume Home?, ,What are some restaurants close to Legume Home?, ,Are pets allowed at Legume Home?, ,Which languages are spoken by the staff at Legume Home?, ",8,4,#27 of 98 lodges in Da Lat,4.0,NA,15,Very good,14,,,1,https://www.tripadvisor.com/Hotel_Review-g293922-d11729176-Reviews-Legume_Home-Da_Lat_Lam_Dong_Province.html
"36 Trieu Viet Vuong Street, Ward 3, Da Lat Vietnam",4,42,43,,,The Shelter Gallery Home,Da Lat,Vietnam,"Vietnam,Lam Dong Province,Da Lat","Which popular attractions are close to The Shelter Gallery Home?, ,What are some of the property amenities at The Shelter Gallery Home?, ,What food & drink options are available at The Shelter Gallery Home?, ,Is parking available at The Shelter Gallery Home?, ,What are some restaurants close to The Shelter Gallery Home?, ,Are pets allowed at The Shelter Gallery Home?, ,Are there any historical sites close to The Shelter Gallery Home?, ",7,9,#13 of 77 guest houses in Da Lat,4.5,NA,26,Excellent,Da Lat,,,3,https://www.tripadvisor.com/Hotel_Review-g293922-d12415729-Reviews-The_Shelter_Gallery_Home-Da_Lat_Lam_Dong_Province.html
"Sacom Tuyen Lam Resort, Zone 7, Tuyen Lam Lake, Da Lat Vietnam",0,0,24,,,ALMA Guest House at Sacom Tuyen Lam Resort,Da Lat,Vietnam,"Vietnam,Lam Dong Province,Da Lat","Which popular attractions are close to ALMA Guest House at Sacom Tuyen Lam Resort?, ,What are some restaurants close to ALMA Guest House at Sacom Tuyen Lam Resort?, ",1,10,#7 of 20 villas in Da Lat,4.5,NA,0,Excellent,2,Luxury,,1,https://www.tripadvisor.com/Hotel_Review-g293922-d6903205-Reviews-ALMA_Guest_House_at_Sacom_Tuyen_Lam_Resort-Da_Lat_Lam_Dong_Province.html
"76 Yen Phu Street Tay Ho District, Hanoi 10000 Vietnam",2,82,197,"English, Chinese, Vietnamese",,The Hanoi Club Hotel & Residences,$110,$58,"$58, - ,$110","Which popular attractions are close to The Hanoi Club Hotel & Residences?, ,What are some of the property amenities at The Hanoi Club Hotel & Residences?, ,Which room amenities are available at The Hanoi Club Hotel & Residences?, ,What food & drink options are available at The Hanoi Club Hotel & Residences?, ,Is parking available at The Hanoi Club Hotel & Residences?, ,What are some restaurants close to The Hanoi Club Hotel & Residences?, ,Are there opportunities to exercise at The Hanoi Club Hotel & Residences?, ,Does The Hanoi Club Hotel & Residences have airport transportation?, ,Are any cleaning services offered at The Hanoi Club Hotel & Residences?, ,Does The Hanoi Club Hotel & Residences offer any business services?, ,Which languages are spoken by the staff at The Hanoi Club Hotel & Residences?, ",10,345,#194 of 704 hotels in Hanoi,4.0,4.0 of 5 bubbles,37,Very good,140,Lake View,,1,https://www.tripadvisor.com/Hotel_Review-g293924-d531337-Reviews-The_Hanoi_Club_Hotel_Residences-Hanoi.html
"84A Bui Thi Xuan Street District 1, Ho Chi Minh City 70000 Vietnam",51,99,87,,,Family Inn Saigon,"$1,072",$25,"$25, - ,$1,072","Which popular attractions are close to Family Inn Saigon?, ,What are some of the property amenities at Family Inn Saigon?, ,What food & drink options are available at Family Inn Saigon?, ,Is parking available at Family Inn Saigon?, ,What are some restaurants close to Family Inn Saigon?, ,Does Family Inn Saigon have airport transportation?, ,Are any cleaning services offered at Family Inn Saigon?, ,Does Family Inn Saigon offer any business services?, ,Are there any historical sites close to Family Inn Saigon?, ",40,343,#22 of 587 small hotels in Ho Chi Minh City,4.0,NA,283,Very good,72,Centrally Located,,14,https://www.tripadvisor.com/Hotel_Review-g293925-d1675289-Reviews-Family_Inn_Saigon-Ho_Chi_Minh_City.html
"9 Chau Van Liem Tan An Ward - Ninh Kieu Dist, Can Tho 92000 Vietnam",11,91,46,"English, Vietnamese",,Kim Long Hotel,$20,$13,"$13, - ,$20","Which popular attractions are close to Kim Long Hotel?, ,What are some of the property amenities at Kim Long Hotel?, ,Which room amenities are available at Kim Long Hotel?, ,What food & drink options are available at Kim Long Hotel?, ,Is parking available at Kim Long Hotel?, ,What are some restaurants close to Kim Long Hotel?, ,Is Kim Long Hotel located near the city center?, ,Which languages are spoken by the staff at Kim Long Hotel?, ,Are there any historical sites close to Kim Long Hotel?, ",5,345,#1 of 54 small hotels in Can Tho,4.5,2.0 of 5 bubbles,56,Excellent,10,"Centrally Located,Budget",,4,https://www.tripadvisor.com/Hotel_Review-g303942-d3750930-Reviews-Kim_Long_Hotel-Can_Tho_Mekong_Delta.html
"Cua Lap Hamlet, Duong To, Phu Quoc Island Vietnam",5,69,503,"English, Vietnamese",,Long Beach Resort Phu Quoc,Phu Quoc Island,Vietnam,"Vietnam,Kien Giang Province,Phu Quoc Island","Which popular attractions are close to Long Beach Resort Phu Quoc?, ,What are some of the property amenities at Long Beach Resort Phu Quoc?, ,Which room amenities are available at Long Beach Resort Phu Quoc?, ,What food & drink options are available at Long Beach Resort Phu Quoc?, ,Is parking available at Long Beach Resort Phu Quoc?, ,What are some restaurants close to Long Beach Resort Phu Quoc?, ,Are there opportunities to exercise at Long Beach Resort Phu Quoc?, ,Does Long Beach Resort Phu Quoc have airport transportation?, ,Are any cleaning services offered at Long Beach Resort Phu Quoc?, ,Which languages are spoken by the staff at Long Beach Resort Phu Quoc?, ,Does Long Beach Resort Phu Quoc have any great views?, ",230,347,#4 of 6 resorts in Duong To,4.0,3.0 of 5 bubbles,22,Very good,57,"Charming,Family",,40,https://www.tripadvisor.com/Hotel_Review-g1184676-d2145610-Reviews-Long_Beach_Resort_Phu_Quoc-Duong_To_Phu_Quoc_Island_Kien_Giang_Province.html
"163 Nguyen Trai, Hoi An 560000 Vietnam",0,71,210,"English, Vietnamese",,Cat Tuong Boutique Villas,$36,$24,"$24, - ,$36","What are some of the property amenities at Cat Tuong Boutique Villas?, ,Which room amenities are available at Cat Tuong Boutique Villas?, ,What food & drink options are available at Cat Tuong Boutique Villas?, ,What are some restaurants close to Cat Tuong Boutique Villas?, ,Are there opportunities to exercise at Cat Tuong Boutique Villas?, ,Does Cat Tuong Boutique Villas have airport transportation?, ,Are any cleaning services offered at Cat Tuong Boutique Villas?, ,Which languages are spoken by the staff at Cat Tuong Boutique Villas?, ,Are there any historical sites close to Cat Tuong Boutique Villas?, ",120,344,#17 of 182 guest houses in Hoi An,5.0,2.5 of 5 bubbles,20,Excellent,12,"Romantic,Charming",,11,https://www.tripadvisor.com/Hotel_Review-g298082-d4745938-Reviews-Cat_Tuong_Boutique_Villas-Hoi_An_Quang_Nam_Province.html
"14A Chan Cam Street - Hoan Kiem District, Hanoi 10000 Vietnam",163,100,50,,,Hanoi Serendipity Hotel,$42,$22,"$22, - ,$42","Which popular attractions are close to Hanoi Serendipity Hotel?, ,What are some of the property amenities at Hanoi Serendipity Hotel?, ,Which room amenities are available at Hanoi Serendipity Hotel?, ,What food & drink options are available at Hanoi Serendipity Hotel?, ,What are some restaurants close to Hanoi Serendipity Hotel?, ,Does Hanoi Serendipity Hotel have an airport shuttle?, ,Does Hanoi Serendipity Hotel have airport transportation?, ,Is Hanoi Serendipity Hotel located near the city center?, ,Are any cleaning services offered at Hanoi Serendipity Hotel?, ,Are there any historical sites close to Hanoi Serendipity Hotel?, ",18,347,#111 of 704 hotels in Hanoi,4.5,3.0 of 5 bubbles,483,Excellent,26,Family,,6,https://www.tripadvisor.com/Hotel_Review-g293924-d4208231-Reviews-Hanoi_Serendipity_Hotel-Hanoi.html
"118/14, Phan Dinh Phung, Can Tho 900000 Vietnam",11,89,346,"English, Vietnamese",,Ms. Ha Guesthouse,$15,$13,"$13, - ,$15","Which popular attractions are close to Ms. Ha Guesthouse?, ,What are some of the property amenities at Ms. Ha Guesthouse?, ,What are some restaurants close to Ms. Ha Guesthouse?, ,Is Ms. Ha Guesthouse located near the city center?, ,Which languages are spoken by the staff at Ms. Ha Guesthouse?, ,Are there any historical sites close to Ms. Ha Guesthouse?, ",20,349,#2 of 19 lodges in Can Tho,5.0,NA,47,Excellent,6,"Budget,Charming",,14,https://www.tripadvisor.com/Hotel_Review-g303942-d7723238-Reviews-Ms_Ha_Guesthouse-Can_Tho_Mekong_Delta.html
"475 Hai Ba Trung, Phu_ng 6, Da Lat 670000 Vietnam",5,79,,,,Homestay DaLat House,Lam Dong Province,Wheel Homestay Dalat,"Wheel Homestay Dalat,Vietnam,Lam Dong Province","Which popular attractions are close to Homestay DaLat House?, ,What are some restaurants close to Homestay DaLat House?, ,Is Homestay DaLat House located near the city center?, ",,1 review,#123 of 230 hostels in Da Lat,5.0,NA,31,Excellent,4,,,0,https://www.tripadvisor.com/Hotel_Review-g293922-d13826661-Reviews-Homestay_DaLat_House-Da_Lat_Lam_Dong_Province.html
"02-06 Pham Hong Thai Street, Da Lat Vietnam",3,73,,"English, Vietnamese",,Villa Magnolia Da Lat,Da Lat,Vietnam,"Vietnam,Lam Dong Province,Da Lat","Which popular attractions are close to Villa Magnolia Da Lat?, ,What are some of the property amenities at Villa Magnolia Da Lat?, ,What food & drink options are available at Villa Magnolia Da Lat?, ,Is parking available at Villa Magnolia Da Lat?, ,What are some restaurants close to Villa Magnolia Da Lat?, ,Does Villa Magnolia Da Lat have airport transportation?, ,Are pets allowed at Villa Magnolia Da Lat?, ,Which languages are spoken by the staff at Villa Magnolia Da Lat?, ,Are there any historical sites close to Villa Magnolia Da Lat?, ",,1 review,#17 of 20 villas in Da Lat,5.0,2.0 of 5 bubbles,23,Excellent,22,,,0,https://www.tripadvisor.com/Hotel_Review-g293922-d12484948-Reviews-Villa_Magnolia_Da_Lat-Da_Lat_Lam_Dong_Province.html
,0,0,,,,Lam's Apartment,Da Lat,Vietnam,"Vietnam,Lam Dong Province,Da Lat",,,1 review,#75 of 153 hotels in Da Lat,5.0,NA,0,Excellent,Da Lat,,,0,https://www.tripadvisor.com/Hotel_Review-g293922-d21301997-Reviews-Lam_s_Apartment-Da_Lat_Lam_Dong_Province.html
"62 Hang Be Hoan Kiem Dist, Hanoi 10000 Vietnam",166,100,139,"English, Vietnamese",,Au Coeur d'Hanoi Boutique Hotel,$61,$41,"$41, - ,$61","Which popular attractions are close to Au Coeur d'Hanoi Boutique Hotel?, ,What are some of the property amenities at Au Coeur d'Hanoi Boutique Hotel?, ,Which room amenities are available at Au Coeur d'Hanoi Boutique Hotel?, ,What food & drink options are available at Au Coeur d'Hanoi Boutique Hotel?, ,What are some restaurants close to Au Coeur d'Hanoi Boutique Hotel?, ,Does Au Coeur d'Hanoi Boutique Hotel have airport transportation?, ,Is Au Coeur d'Hanoi Boutique Hotel located near the city center?, ,Are any cleaning services offered at Au Coeur d'Hanoi Boutique Hotel?, ,Which languages are spoken by the staff at Au Coeur d'Hanoi Boutique Hotel?, ,Are there any historical sites close to Au Coeur d'Hanoi Boutique Hotel?, ",18,349,#93 of 704 hotels in Hanoi,5.0,3.0 of 5 bubbles,581,Excellent,25,City View,,16,https://www.tripadvisor.com/Hotel_Review-g293924-d3397438-Reviews-Au_Coeur_d_Hanoi_Boutique_Hotel-Hanoi.html
"Hem 61 Hoang Dieu, Da Lat Vietnam",6,75,,"English, Vietnamese",,Alley Hostel,Da Lat,Vietnam,"Vietnam,Lam Dong Province,Da Lat","Which popular attractions are close to Alley Hostel?, ,What are some of the property amenities at Alley Hostel?, ,What food & drink options are available at Alley Hostel?, ,Is parking available at Alley Hostel?, ,What are some restaurants close to Alley Hostel?, ,Does Alley Hostel have an airport shuttle?, ,Does Alley Hostel have airport transportation?, ,Is Alley Hostel located near the city center?, ,Which languages are spoken by the staff at Alley Hostel?, ",,6,#68 of 230 hostels in Da Lat,5.0,NA,31,Excellent,Da Lat,,,0,https://www.tripadvisor.com/Hotel_Review-g293922-d13368923-Reviews-Alley_Hostel-Da_Lat_Lam_Dong_Province.html
"91/6 Phan Boi Chau, Ward 1, Da Lat 67000 Vietnam",25,90,,,,Khanh Uyen 3 Hotel,Da Lat,Vietnam,"Vietnam,Lam Dong Province,Da Lat","Which popular attractions are close to Khanh Uyen 3 Hotel?, ,What are some restaurants close to Khanh Uyen 3 Hotel?, ,Is Khanh Uyen 3 Hotel located near the city center?, ",,0,,0,NA,140,,19,,,0,https://www.tripadvisor.com/Hotel_Review-g293922-d23469564-Reviews-Khanh_Uyen_3_Hotel-Da_Lat_Lam_Dong_Province.html
"51 Ly Nam De Ward 8, Da Lat 670000 Vietnam",2,50,,,,All Aboard Hostel Dalat,Da Lat,Vietnam,"Vietnam,Lam Dong Province,Da Lat","Which popular attractions are close to All Aboard Hostel Dalat?, ,What are some of the property amenities at All Aboard Hostel Dalat?, ,What food & drink options are available at All Aboard Hostel Dalat?, ,Is parking available at All Aboard Hostel Dalat?, ,What are some restaurants close to All Aboard Hostel Dalat?, ,Does All Aboard Hostel Dalat have an airport shuttle?, ",,4,#79 of 230 hostels in Da Lat,5.0,2.0 of 5 bubbles,34,Excellent,1,"Hidden Gem,Quaint",,0,https://www.tripadvisor.com/Hotel_Review-g293922-d14888975-Reviews-All_Aboard_Hostel_Dalat-Da_Lat_Lam_Dong_Province.html
"21/4A Phu Dong Thien Vuong, Da Lat Vietnam",3,55,,,,Bae Bed and Breakfast,Da Lat,Vietnam,"Vietnam,Lam Dong Province,Da Lat","Which popular attractions are close to Bae Bed and Breakfast?, ,What are some restaurants close to Bae Bed and Breakfast?, ",,1 review,#9 of 15 B&Bs in Da Lat,5.0,NA,36,Excellent,Da Lat,,,0,https://www.tripadvisor.com/Hotel_Review-g293922-d14960799-Reviews-Bae_Bed_and_Breakfast-Da_Lat_Lam_Dong_Province.html
"40/11 Bui Vien Street Pham Ngu Lao Ward, District 1, Ho Chi Minh City 71012 Vietnam",81,98,84,"English, Dutch, Vietnamese",,Canary Saigon Hotel,Ho Chi Minh City,Pink Tulip Hotel,"Pink Tulip Hotel,Vietnam,Ho Chi Minh City","Which popular attractions are close to Canary Saigon Hotel?, ,What are some of the property amenities at Canary Saigon Hotel?, ,Which room amenities are available at Canary Saigon Hotel?, ,What food & drink options are available at Canary Saigon Hotel?, ,What are some restaurants close to Canary Saigon Hotel?, ,Does Canary Saigon Hotel have airport transportation?, ,Which languages are spoken by the staff at Canary Saigon Hotel?, ,Are there any historical sites close to Canary Saigon Hotel?, ",15,349,#8 of 587 small hotels in Ho Chi Minh City,4.0,2.0 of 5 bubbles,494,Very good,14,Centrally Located,,5,https://www.tripadvisor.com/Hotel_Review-g293925-d4131353-Reviews-Canary_Saigon_Hotel-Ho_Chi_Minh_City.html
"29F2 Phan Boi Chau, Da Lat Vietnam",21,90,,"English, Vietnamese",,Luu Thai Hien Hotel,Da Lat,Vietnam,"Vietnam,Lam Dong Province,Da Lat","Which popular attractions are close to Luu Thai Hien Hotel?, ,What are some of the property amenities at Luu Thai Hien Hotel?, ,Is parking available at Luu Thai Hien Hotel?, ,What are some restaurants close to Luu Thai Hien Hotel?, ,Does Luu Thai Hien Hotel have airport transportation?, ,Is Luu Thai Hien Hotel located near the city center?, ,Which languages are spoken by the staff at Luu Thai Hien Hotel?, ",,1 review,#148 of 230 hostels in Da Lat,5.0,NA,137,Excellent,Da Lat,,,0,https://www.tripadvisor.com/Hotel_Review-g293922-d12482257-Reviews-Luu_Thai_Hien_Hotel-Da_Lat_Lam_Dong_Province.html
"11/2 Street 3/4, Da Lat Vietnam",6,62,11,"English, Vietnamese",,Hoa Khai Tan Quan,Da Lat,Vietnam,"Vietnam,Lam Dong Province,Da Lat","Which popular attractions are close to Hoa Khai Tan Quan?, ,What are some of the property amenities at Hoa Khai Tan Quan?, ,What food & drink options are available at Hoa Khai Tan Quan?, ,Is parking available at Hoa Khai Tan Quan?, ,What are some restaurants close to Hoa Khai Tan Quan?, ,Which languages are spoken by the staff at Hoa Khai Tan Quan?, ",10,1 review,#8 of 14 inns in Da Lat,5.0,1.5 of 5 bubbles,60,Excellent,6,,,1,https://www.tripadvisor.com/Hotel_Review-g293922-d12388244-Reviews-Hoa_Khai_Tan_Quan-Da_Lat_Lam_Dong_Province.html
"10 Le Lo street, My An ward My An ward, Ngu Hanh Son district, Danang City, VietNam, Da Nang 550000 Vietnam",5,79,218,"English, Vietnamese",,Grand Sunrise Boutique Hotel,$57,$27,"$27, - ,$57","Which popular attractions are close to Grand Sunrise Boutique Hotel?, ,What are some of the property amenities at Grand Sunrise Boutique Hotel?, ,Which room amenities are available at Grand Sunrise Boutique Hotel?, ,What food & drink options are available at Grand Sunrise Boutique Hotel?, ,Is parking available at Grand Sunrise Boutique Hotel?, ,What are some restaurants close to Grand Sunrise Boutique Hotel?, ,Are there opportunities to exercise at Grand Sunrise Boutique Hotel?, ,Does Grand Sunrise Boutique Hotel have an airport shuttle?, ,Does Grand Sunrise Boutique Hotel have airport transportation?, ,Are any cleaning services offered at Grand Sunrise Boutique Hotel?, ,Does Grand Sunrise Boutique Hotel offer any business services?, ",38,350,#28 of 408 hotels in Da Nang,5.0,3.0 of 5 bubbles,109,Excellent,80,"Charming,Business",,20,https://www.tripadvisor.com/Hotel_Review-g298085-d15225205-Reviews-Grand_Sunrise_Boutique_Hotel-Da_Nang.html
"Kp7, Khu Du Lich Vuon Thuon Tuyen Lam, Da Lat 670000 Vietnam",0,0,12,"English, Chinese, Vietnamese",,Vuon Thuong House,Da Lat,Vietnam,"Vietnam,Lam Dong Province,Da Lat","Which popular attractions are close to Vuon Thuong House?, ,What are some of the property amenities at Vuon Thuong House?, ,Which room amenities are available at Vuon Thuong House?, ,What food & drink options are available at Vuon Thuong House?, ,Is parking available at Vuon Thuong House?, ,What are some restaurants close to Vuon Thuong House?, ,Does Vuon Thuong House have an airport shuttle?, ,Does Vuon Thuong House have airport transportation?, ,Are any cleaning services offered at Vuon Thuong House?, ,Are pets allowed at Vuon Thuong House?, ",4,1 review,#34 of 98 lodges in Da Lat,5.0,NA,0,Excellent,4,,,1,https://www.tripadvisor.com/Hotel_Review-g293922-d20203594-Reviews-Vuon_Thuong_House-Da_Lat_Lam_Dong_Province.html
"93 Hai Ba Trung, Da Lat Vietnam",7,75,,,,Da Lat M.N Hostel,Da Lat,Vietnam,"Vietnam,Lam Dong Province,Da Lat","Which popular attractions are close to Da Lat M.N Hostel?, ,What are some restaurants close to Da Lat M.N Hostel?, ",,1 review,#174 of 230 hostels in Da Lat,5.0,NA,26,Excellent,2,,,0,https://www.tripadvisor.com/Hotel_Review-g293922-d8527264-Reviews-Da_Lat_M_N_Hostel-Da_Lat_Lam_Dong_Province.html
"181, Huyen Tran Cong Chua Ward 4, Da Lat Vietnam",9,58,,,,Valley Of Cloud Homestay,Da Lat,Vietnam,"Vietnam,Lam Dong Province,Da Lat","Which popular attractions are close to Valley Of Cloud Homestay?, ,What are some restaurants close to Valley Of Cloud Homestay?, ",,1 review,#25 of 46 special hotels in Da Lat,5.0,NA,47,Excellent,Da Lat,,,0,https://www.tripadvisor.com/Hotel_Review-g293922-d15074334-Reviews-Valley_Of_Cloud_Homestay-Da_Lat_Lam_Dong_Province.html
"3d Nam ky khoi nghia 5, Da Lat Vietnam",25,91,,,,Thai Duong,Da Lat,Vietnam,"Vietnam,Lam Dong Province,Da Lat","Which popular attractions are close to Thai Duong?, ,What are some restaurants close to Thai Duong?, ,Is Thai Duong located near the city center?, ",,2,#72 of 226 small hotels in Da Lat,5.0,NA,137,Excellent,Da Lat,,,0,https://www.tripadvisor.com/Hotel_Review-g293922-d13999140-Reviews-Thai_Duong-Da_Lat_Lam_Dong_Province.html
"68, Dang Thai Than, Da Lat 66000 Vietnam",3,54,,,,Kymi Villa Da Lat,Da Lat,Vietnam,"Vietnam,Lam Dong Province,Da Lat","Which popular attractions are close to Kymi Villa Da Lat?, ,What are some of the property amenities at Kymi Villa Da Lat?, ,What food & drink options are available at Kymi Villa Da Lat?, ,What are some restaurants close to Kymi Villa Da Lat?, ",,2,#56 of 153 hotels in Da Lat,5.0,3.0 of 5 bubbles,41,Excellent,Da Lat,Family,,0,https://www.tripadvisor.com/Hotel_Review-g293922-d16828315-Reviews-Kymi_Villa_Da_Lat-Da_Lat_Lam_Dong_Province.html
"53 Thuoc Bac Str. Hoan Kiem Dist, Hanoi Vietnam",138,97,96,Vietnamese,,New Vision Palace Hotel,$57,$24,"$24, - ,$57","Which popular attractions are close to New Vision Palace Hotel?, ,What are some of the property amenities at New Vision Palace Hotel?, ,Which room amenities are available at New Vision Palace Hotel?, ,What food & drink options are available at New Vision Palace Hotel?, ,What are some restaurants close to New Vision Palace Hotel?, ,Does New Vision Palace Hotel have an airport shuttle?, ,Does New Vision Palace Hotel have airport transportation?, ,Is New Vision Palace Hotel located near the city center?, ,Are any cleaning services offered at New Vision Palace Hotel?, ,Are there any historical sites close to New Vision Palace Hotel?, ",32,351,#75 of 704 hotels in Hanoi,5.0,3.0 of 5 bubbles,463,Excellent,18,"Trendy,Family",,27,https://www.tripadvisor.com/Hotel_Review-g293924-d12194286-Reviews-New_Vision_Palace_Hotel-Hanoi.html
"26/1a Phu Dong Thien Vuong Street, Ward 8, Da Lat Vietnam",3,55,9,"English, Vietnamese",,Home 1988,Da Lat,Vietnam,"Vietnam,Lam Dong Province,Da Lat","Which popular attractions are close to Home 1988?, ,What are some of the property amenities at Home 1988?, ,What food & drink options are available at Home 1988?, ,Is parking available at Home 1988?, ,What are some restaurants close to Home 1988?, ,Does Home 1988 have an airport shuttle?, ,Which languages are spoken by the staff at Home 1988?, ",12,4,#83 of 230 hostels in Da Lat,5.0,NA,36,Excellent,4,,,2,https://www.tripadvisor.com/Hotel_Review-g293922-d11705987-Reviews-Home_1988-Da_Lat_Lam_Dong_Province.html
"77 Bui Thi Xuan, Da Lat Vietnam",1,68,,"English, Vietnamese",,Hong Hoa Hotel,Da Lat,Vietnam,"Vietnam,Lam Dong Province,Da Lat","Which popular attractions are close to Hong Hoa Hotel?, ,What are some of the property amenities at Hong Hoa Hotel?, ,Which room amenities are available at Hong Hoa Hotel?, ,What food & drink options are available at Hong Hoa Hotel?, ,Is parking available at Hong Hoa Hotel?, ,What are some restaurants close to Hong Hoa Hotel?, ,Are there opportunities to exercise at Hong Hoa Hotel?, ,Is Hong Hoa Hotel located near the city center?, ,Are any cleaning services offered at Hong Hoa Hotel?, ,Which languages are spoken by the staff at Hong Hoa Hotel?, ",,3,#77 of 226 small hotels in Da Lat,5.0,1.0 of 5 bubbles,15,Excellent,Da Lat,Budget,,0,https://www.tripadvisor.com/Hotel_Review-g293922-d6437813-Reviews-Hong_Hoa_Hotel-Da_Lat_Lam_Dong_Province.html
"42/2 Ha Huy Tap Street, Da Lat Vietnam",27,73,,English,,Dalat City Home Stay,Da Lat,Vietnam,"Vietnam,Lam Dong Province,Da Lat","Which popular attractions are close to Dalat City Home Stay?, ,What are some of the property amenities at Dalat City Home Stay?, ,What food & drink options are available at Dalat City Home Stay?, ,Is parking available at Dalat City Home Stay?, ,What are some restaurants close to Dalat City Home Stay?, ,Does Dalat City Home Stay have an airport shuttle?, ,Does Dalat City Home Stay have airport transportation?, ,Is Dalat City Home Stay located near the city center?, ,Are pets allowed at Dalat City Home Stay?, ,Are there any historical sites close to Dalat City Home Stay?, ",,5,#82 of 230 hostels in Da Lat,5.0,NA,182,Excellent,5,,,0,https://www.tripadvisor.com/Hotel_Review-g293922-d8385391-Reviews-Dalat_City_Home_Stay-Da_Lat_Lam_Dong_Province.html
"29 Phu Dong Thien Vuong Ward 8, Da Lat 670000 Vietnam",91,36,,,,Street View Hotel & Apartments,Da Lat,Vietnam,"Vietnam,Lam Dong Province,Da Lat","Which popular attractions are close to Street View Hotel & Apartments?, ,What are some restaurants close to Street View Hotel & Apartments?, ",,2,#59 of 153 hotels in Da Lat,5.0,2.0 of 5 bubbles,504,Excellent,Da Lat,,,0,https://www.tripadvisor.com/Hotel_Review-g293922-d14789236-Reviews-Street_View_Hotel_Apartments-Da_Lat_Lam_Dong_Province.html
"03 Huynh Thuc Khang St Ward 4, Da Lat Vietnam",4,80,890,"English, Vietnamese",,Crazy House,$55,$39,"$39, - ,$55","Which popular attractions are close to Crazy House?, ,What are some of the property amenities at Crazy House?, ,Which room amenities are available at Crazy House?, ,What are some restaurants close to Crazy House?, ,Is Crazy House located near the city center?, ,Which languages are spoken by the staff at Crazy House?, ,Are there any historical sites close to Crazy House?, ",186,353,#2 of 77 guest houses in Da Lat,4.0,1.0 of 5 bubbles,41,Very good,10,Quaint,,15,https://www.tripadvisor.com/Hotel_Review-g293922-d302752-Reviews-Crazy_House-Da_Lat_Lam_Dong_Province.html
"93 Trieu Viet Vuong Ward 4, Da Lat 670000 Vietnam",0,0,16,,,Gingko Homestay & Coffee,Da Lat,Vietnam,"Vietnam,Lam Dong Province,Da Lat","Which popular attractions are close to Gingko Homestay & Coffee?, ,What are some restaurants close to Gingko Homestay & Coffee?, ",9,2,#3 of 12 cottages in Da Lat,5.0,NA,0,Excellent,10,,,1,https://www.tripadvisor.com/Hotel_Review-g293922-d14111488-Reviews-Gingko_Homestay_Coffee-Da_Lat_Lam_Dong_Province.html
